subject,subject_type,predicate,object,object_type
Amazon,Company,HAS_SEGMENT,North America,BusinessSegment
Amazon,Company,HAS_SEGMENT,International,BusinessSegment
Amazon,Company,HAS_SEGMENT,Amazon Web Services (AWS),BusinessSegment
North America,BusinessSegment,SERVES,consumers,CustomerType
International,BusinessSegment,SERVES,consumers,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,small businesses,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,mid-market companies,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,large enterprises,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,developers,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,government agencies,CustomerType
Amazon Web Services (AWS),BusinessSegment,SERVES,educational institutions,CustomerType
North America,BusinessSegment,SELLS_THROUGH,online,Channel
International,BusinessSegment,SELLS_THROUGH,online,Channel
North America,BusinessSegment,SELLS_THROUGH,retail,Channel
International,BusinessSegment,SELLS_THROUGH,retail,Channel
North America,BusinessSegment,OFFERS,Kindle,Offering
International,BusinessSegment,OFFERS,Kindle,Offering
North America,BusinessSegment,OFFERS,Fire tablet,Offering
International,BusinessSegment,OFFERS,Fire tablet,Offering
North America,BusinessSegment,OFFERS,Fire TV,Offering
International,BusinessSegment,OFFERS,Fire TV,Offering
North America,BusinessSegment,OFFERS,Echo,Offering
International,BusinessSegment,OFFERS,Echo,Offering
North America,BusinessSegment,OFFERS,Ring,Offering
International,BusinessSegment,OFFERS,Ring,Offering
North America,BusinessSegment,OFFERS,Blink,Offering
International,BusinessSegment,OFFERS,Blink,Offering
North America,BusinessSegment,OFFERS,eero,Offering
International,BusinessSegment,OFFERS,eero,Offering
North America,BusinessSegment,OFFERS,media content,Offering
International,BusinessSegment,OFFERS,media content,Offering
North America,BusinessSegment,OFFERS,Amazon Prime,Offering
International,BusinessSegment,OFFERS,Amazon Prime,Offering
North America,BusinessSegment,OFFERS,programs,Offering
International,BusinessSegment,OFFERS,programs,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,on-demand technology services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,compute services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,storage services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,database services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,artificial intelligence services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,machine learning services,Offering
Amazon Web Services (AWS),BusinessSegment,OFFERS,analytics services,Offering
North America,BusinessSegment,OFFERS,sponsored ads,Offering
International,BusinessSegment,OFFERS,sponsored ads,Offering
North America,BusinessSegment,OFFERS,display advertising,Offering
International,BusinessSegment,OFFERS,display advertising,Offering
North America,BusinessSegment,OFFERS,video advertising,Offering
International,BusinessSegment,OFFERS,video advertising,Offering
North America,BusinessSegment,OFFERS,advertising services,Offering
International,BusinessSegment,OFFERS,advertising services,Offering
Kindle,Offering,MONETIZES_VIA,hardware sales,RevenueModel
Fire tablet,Offering,MONETIZES_VIA,hardware sales,RevenueModel
Fire TV,Offering,MONETIZES_VIA,hardware sales,RevenueModel
Echo,Offering,MONETIZES_VIA,hardware sales,RevenueModel
Ring,Offering,MONETIZES_VIA,hardware sales,RevenueModel
Blink,Offering,MONETIZES_VIA,hardware sales,RevenueModel
eero,Offering,MONETIZES_VIA,hardware sales,RevenueModel
media content,Offering,MONETIZES_VIA,advertising,RevenueModel
Amazon Prime,Offering,MONETIZES_VIA,subscription,RevenueModel
on-demand technology services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
compute services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
storage services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
database services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
artificial intelligence services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
machine learning services,Offering,MONETIZES_VIA,consumption-based,RevenueModel
analytics services,Offering,MONETIZES_VIA,service fees,RevenueModel
sponsored ads,Offering,MONETIZES_VIA,advertising,RevenueModel
display advertising,Offering,MONETIZES_VIA,advertising,RevenueModel
video advertising,Offering,MONETIZES_VIA,advertising,RevenueModel
advertising services,Offering,MONETIZES_VIA,advertising,RevenueModel
